org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Optimize cache for minimal puts: disabled
org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Structured second-level cache entries: disabled
org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Echoing all SQL to stdout
org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Statistics: disabled
org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Deleted entity synthetic identifier rollback: disabled
org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Default entity-mode: pojo
org.hibernate.cfg.SettingsFactory 2016-01-18 15:56:17,708 -- INFO -- Named query checking : enabled
org.hibernate.search.Version 2016-01-18 15:56:17,738 -- INFO -- Hibernate Search 3.0.0.GA
org.hibernate.impl.SessionFactoryImpl 2016-01-18 15:56:17,808 -- INFO -- building session factory
org.hibernate.impl.SessionFactoryObjectFactory 2016-01-18 15:56:18,135 -- INFO -- Not binding factory to JNDI, no JNDI name configured
org.hibernate.tool.hbm2ddl.SchemaUpdate 2016-01-18 15:56:18,145 -- INFO -- Running hbm2ddl schema update
org.hibernate.tool.hbm2ddl.SchemaUpdate 2016-01-18 15:56:18,145 -- INFO -- fetching database metadata
org.hibernate.tool.hbm2ddl.SchemaUpdate 2016-01-18 15:56:18,155 -- INFO -- updating schema
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,205 -- INFO -- table found: testdb.invoice
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,205 -- INFO -- columns: [total, id, price, itemname, quantity, customeraddress, customername]
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,205 -- INFO -- foreign keys: []
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,205 -- INFO -- indexes: [primary]
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,225 -- INFO -- table found: testdb.logindetials
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,225 -- INFO -- columns: [id, username, password]
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,225 -- INFO -- foreign keys: []
org.hibernate.tool.hbm2ddl.TableMetadata 2016-01-18 15:56:18,225 -- INFO -- indexes: [primary]
org.hibernate.tool.hbm2ddl.SchemaUpdate 2016-01-18 15:56:18,225 -- INFO -- schema update complete
org.springframework.orm.hibernate3.HibernateTransactionManager 2016-01-18 15:56:18,435 -- INFO -- Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2566edf4] of Hibernate SessionFactory for HibernateTransactionManager
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/invoices] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/invoices.*] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/invoices/] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/details/{id}] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/details/{id}.*] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/details/{id}/] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/save] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/save.*] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/save/] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/delete/{invoiceId}] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/delete/{invoiceId}.*] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/invoice/delete/{invoiceId}/] onto handler 'invoiceController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/login/logout] onto handler 'loginController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/login/logout.*] onto handler 'loginController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/login/logout/] onto handler 'loginController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/login/verify] onto handler 'loginController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/login/verify.*] onto handler 'loginController'
org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping 2016-01-18 15:56:18,545 -- INFO -- Mapped URL path [/login/verify/] onto handler 'loginController'
org.springframework.web.servlet.DispatcherServlet 2016-01-18 15:56:19,047 -- INFO -- FrameworkServlet 'dispatcher': initialization completed in 3203 ms
org.springframework.web.servlet.DispatcherServlet 2016-01-19 11:16:00,807 -- INFO -- FrameworkServlet 'dispatcher': initialization started
org.springframework.web.context.support.XmlWebApplicationContext 2016-01-19 11:16:00,849 -- INFO -- Refreshing WebApplicationContext for namespace 'dispatcher-servlet': startup date [Tue Jan 19 11:16:00 IST 2016]; root of context hierarchy
org.springframework.beans.factory.xml.XmlBeanDefinitionReader 2016-01-19 11:16:00,901 -- INFO -- Loading XML bean definitions from ServletContext resource [/WEB-INF/config/dispatcher-servlet.xml]
org.springframework.beans.factory.config.PropertyPlaceholderConfigurer 2016-01-19 11:16:01,737 -- INFO -- Loading properties file from class path resource [database.properties]
org.springframework.beans.factory.support.DefaultListableBeanFactory 2016-01-19 11:16:01,802 -- INFO -- Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@318161d6: defining beans [invoiceController,loginController,invoiceDao,invoiceService,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,dataSource,sessionFactory,hibernateTransactionManager,org.springframework.context.annotation.ConfigurationClassPostProcessor$ImportAwareBeanPostProcessor#0]; root of factory hierarchy
org.springframework.jdbc.datasource.DriverManagerDataSource 2016-01-19 11:16:01,909 -- INFO -- Loaded JDBC driver: com.mysql.jdbc.Driver
org.hibernate.cfg.annotations.Version 2016-01-19 11:16:01,973 -- INFO -- Hibernate Annotations 3.3.1.GA
org.hibernate.cfg.Environment 2016-01-19 11:16:01,987 -- INFO -- Hibernate 3.2.6
org.hibernate.cfg.Environment 2016-01-19 11:16:01,992 -- INFO -- hibernate.properties not found
org.hibernate.cfg.Environment 2016-01-19 11:16:01,996 -- INFO -- Bytecode provider name : cglib
org.hibernate.cfg.Environment 2016-01-19 11:16:02,001 -- INFO -- using JDK 1.4 java.sql.Timestamp handling
org.hibernate.cfg.AnnotationBinder 2016-01-19 11:16:02,140 -- INFO -- Binding entity from annotated class: com.invoice.model.Invoice
org.hibernate.cfg.annotations.EntityBinder 2016-01-19 11:16:02,185 -- INFO -- Bind entity com.invoice.model.Invoice on table Invoice
org.hibernate.cfg.AnnotationBinder 2016-01-19 11:16:02,242 -- INFO -- Binding entity from annotated class: com.invoice.model.LoginDetails
org.hibernate.cfg.annotations.EntityBinder 2016-01-19 11:16:02,243 -- INFO -- Bind entity com.invoice.model.LoginDetails on table LoginDetials
org.hibernate.cfg.AnnotationConfiguration 2016-01-19 11:16:02,258 -- INFO -- Hibernate Validator not found: ignoring
org.springframework.orm.hibernate3.annotation.AnnotationSessionFactoryBean 2016-01-19 11:16:02,258 -- INFO -- Building new Hibernate SessionFactory
org.hibernate.connection.ConnectionProviderFactory 2016-01-19 11:16:02,351 -- INFO -- Initializing connection provider: org.springframework.orm.hibernate3.LocalDataSourceConnectionProvider
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,490 -- INFO -- RDBMS: MySQL, version: 5.5.28
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,490 -- INFO -- JDBC driver: MySQL-AB JDBC Driver, version: mysql-connector-java-5.0.4 ( $Date: 2006-10-19 17:47:48 +0200 (Thu, 19 Oct 2006) $, $Revision: 5908 $ )
org.hibernate.dialect.Dialect 2016-01-19 11:16:02,509 -- INFO -- Using dialect: org.hibernate.dialect.MySQLDialect
org.hibernate.transaction.TransactionFactoryFactory 2016-01-19 11:16:02,512 -- INFO -- Transaction strategy: org.springframework.orm.hibernate3.SpringTransactionFactory
org.hibernate.transaction.TransactionManagerLookupFactory 2016-01-19 11:16:02,513 -- INFO -- No TransactionManagerLookup configured (in JTA environment, use of read-write or transactional second-level cache is not recommended)
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- Automatic flush during beforeCompletion(): disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- Automatic session close at end of transaction: disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- JDBC batch size: 15
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- JDBC batch updates for versioned data: disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- Scrollable result sets: enabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- JDBC3 getGeneratedKeys(): enabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,514 -- INFO -- Connection release mode: auto
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,515 -- INFO -- Maximum outer join fetch depth: 2
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,515 -- INFO -- Default batch fetch size: 1
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,515 -- INFO -- Generate SQL with comments: disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,515 -- INFO -- Order SQL updates by primary key: disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,515 -- INFO -- Order SQL inserts for batching: disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,515 -- INFO -- Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
org.hibernate.hql.ast.ASTQueryTranslatorFactory 2016-01-19 11:16:02,517 -- INFO -- Using ASTQueryTranslatorFactory
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,518 -- INFO -- Query language substitutions: {}
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,518 -- INFO -- JPA-QL strict compliance: disabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,518 -- INFO -- Second-level cache: enabled
org.hibernate.cfg.SettingsFactory 2016-01-19 11:16:02,518 -- INFO -- Query cache: disabled
